,pet_name,gender,latitude,longitude,color,hex_color
0,Juliette,Female,37.8091297,-122.2516412,black,#003366
1,Tom,Male,37.7997012,-122.2482853,gray,#969888
2,Blu Ashley,Female,37.8207406,-122.272478,gray,#969888
3,Macaroni,Male,37.812174,-122.2965778,orange,#FF9900
4,Mickey,Female,37.7753559,-122.2724372,gray,#969888
5,Robin,Female,37.7526273,-122.2311322,oher,#ADD8E6
6,Tanya,Female,37.7526273,-122.2311322,black,#003366
7,Pompey,Male,37.7959854,-122.231919,black,#003366
8,Chloe,Female,37.7703612,-122.2569641,other,#ADD8E6
9,Toru,Male,37.7820991,-122.2292263,gray,#969888
10,Yuki Love,Female,37.8321173,-122.2625529,other,#ADD8E6
11,Mama Kitty,Female,37.774301,-122.2586412,white,#FFFFFF
12,Puff,Female,37.8463046,-122.2668066,calico,#8E593C
13,Spot,Male,37.7906052,-122.2156776,black_white,#A9A9A9
14,Dutch,Male,37.8022749,-122.2049102,black_white,#A9A9A9
15,Kiki,Male,37.7764228,-122.2035274,black,#003366
16,Henry,Male,37.8743703,-122.2985808,tabby,#D4C19E
17,Loki,Male,37.7922614,-122.1875541,orange,#FF9900
18,Babo,Male,37.880225,-122.2693585,black,#003366
19,Patrick,Male,37.7568289,-122.2007531,black_white,#A9A9A9
20,Baby Boy,Male,37.7756817,-122.1795683,other,#ADD8E6
21,Baby Boy,Male,37.7756817,-122.1795683,other,#ADD8E6
22,Stoney,Female,37.7373671,-122.2370271,tabby,#D4C19E
23,Leo,Male,37.7553535,-122.1837803,gray,#969888
24,Belle,Female,37.8883952,-122.2965778,white,#FFFFFF
25,Bernie,Male,37.7933719,-122.1589938,gray,#969888
26,Medusa,Female,37.899311,-122.298936,black_white,#A9A9A9
27,Plato,Male,37.7299028,-122.155044,other,#ADD8E6
28,Tiny Wheeler,Female,37.7485824,-122.4184108,other,#ADD8E6
29,Oreo,Male,37.7232216,-122.130604,black,#003366
30,Morris,Male,37.7202042,-122.4099154,tabby,#D4C19E
31,Dot,Female,37.7423723,-122.4424773,black,#003366
32,Pepper,Male,37.6851553,-122.1575745,other,#ADD8E6
33,Bug,Male,37.7111593,-122.4383924,tabby,#D4C19E
34,Onyx,Female,37.9584028,-122.3459969,black,#003366
35,Bentley,Male,37.8865023,-122.4659749,white,#FFFFFF
36,Sebastian,Male,37.6973139,-122.1008963,tabby,#D4C19E
37,Gus,Male,37.8655663,-122.0666997,white,#FFFFFF
38,Millhouse,Female,37.6872634,-122.105587,black,#003366
39,Top Cat,Male,37.9731224,-122.3305918,gray,#969888
40,Bug,Female,37.9587253,-122.2767313,white,#FFFFFF
41,Boba,Male,37.6784577,-122.1036324,other,#ADD8E6
42,Zelda,Female,37.694996,-122.4608775,other,#ADD8E6
43,Blaze,Male,37.694996,-122.4608775,white,#FFFFFF
44,Gypsy,Female,37.8758671,-122.067272,black_white,#A9A9A9
45,Miyazaki,Male,37.659947,-122.1107267,black_white,#A9A9A9
46,Geordi,Male,37.6932654,-122.4722503,black_white,#A9A9A9
47,Gracie,Female,37.6882268,-122.07097,black_white,#A9A9A9
48,Temoo,Male,37.6651179,-122.0936861,gray,#969888
49,Princess,Female,38.00674,-122.259717,white,#FFFFFF
50,Saunga,Female,37.9313003,-122.0690258,other,#ADD8E6
51,Buddy,Male,37.9193365,-122.0780632,tabby,#D4C19E
52,Buddy,Male,37.9193365,-122.0780632,tabby,#D4C19E
53,Rayita,Female,37.6425639,-122.08623,black_white,#A9A9A9
54,Ginger,Female,37.9463749,-122.0620111,other,#ADD8E6
55,Beegee,Male,37.955504,-122.0734243,black_white,#A9A9A9
56,Unknown,Female,37.8152561,-122.2239504,calico,#8E593C
57,Unknown,Male,37.774218,-122.2079612,other,#ADD8E6
58,Unknown,Unknown,37.7652429,-122.186799,other,#ADD8E6
59,Unknown,Female,37.7683715,-122.1655665,orange,#FF9900
60,Unknown,Female,37.7683715,-122.1655665,other,#ADD8E6
61,Unknown,Female,37.7731609,-122.1390611,calico,#8E593C
62,Unknown,Unknown,37.7618242,-122.3985871,black,#003366
63,Unknown,Unknown,37.7171484,-122.1556111,other,#ADD8E6
64,Unknown,Male,37.7774994,-122.433252,other,#ADD8E6
65,Unknown,Male,37.7774994,-122.433252,orange,#FF9900
66,Unknown,Female,37.9350806,-122.3429132,other,#ADD8E6
67,Unknown,Unknown,37.7650406,-122.4502301,other,#ADD8E6
68,Unknown,Unknown,37.965262,-122.311283,gray,#969888
69,Unknown,Female,37.7050703,-122.1235054,calico,#8E593C
70,Unknown,Male,37.985445,-122.2991227,other,#ADD8E6
71,Unknown,Male,37.7092024,-122.0439903,other,#ADD8E6
72,Jax,Male,37.8104485,-122.2398636,tabby,#D4C19E
73,Chad,Male,37.7944092,-122.2455364,black_white,#A9A9A9
74,Justice,Male,37.8134679,-122.307917,other,#ADD8E6
75,Loki,Male,37.8104485,-122.2398636,tabby,#D4C19E
76,Luna,Female,37.8336281,-122.2029832,other,#ADD8E6
77,Romelu,Male,37.837959,-122.2824021,tabby,#D4C19E
78,Liba,Female,37.8015517,-122.2143323,other,#ADD8E6
79,Calico Bunny,Female,37.7729273,-122.2143323,calico,#8E593C
80,Raja,Female,37.7712165,-122.2824021,calico,#8E593C
81,Emi,Female,37.8646149,-122.2341905,other,#ADD8E6
82,Mask,Female,37.8524741,-122.2738958,calico,#8E593C
83,Gomez,Male,37.7936811,-122.1462193,black,#003366
84,Patrick,Male,37.7347438,-122.2143323,black_white,#A9A9A9
85,Bunsen,Male,37.7554905,-122.1462193,black_white,#A9A9A9
86,Angie,Male,37.7339032,-122.2483726,orange,#FF9900
87,Tiny Bear,Male,37.7554905,-122.1462193,other,#ADD8E6
88,this pet,Male,37.8883952,-122.2965778,orange,#FF9900
89,Teto,Female,37.8059887,-122.4099154,other,#ADD8E6
90,this pet,Female,37.7485824,-122.4184108,other,#ADD8E6
91,Indya,Female,37.7199247,-122.1689284,black,#003366
92,Jonah,Male,37.7485824,-122.4184108,tabby,#D4C19E
93,Ginger And Elsa,Female,37.7199247,-122.1689284,orange,#FF9900
94,Kurtis,Male,37.7877522,-122.4382307,gray,#969888
95,Keanu,Male,37.7202042,-122.4099154,tabby,#D4C19E
96,Chickadee,Female,37.7717185,-122.4438929,black_white,#A9A9A9
97,Nutmeg,Female,37.7401042,-122.4382307,white,#FFFFFF
98,Soda Pop,Male,37.7717185,-122.4438929,other,#ADD8E6
99,Turtle,Female,37.793323,-122.4665384,calico,#8E593C
100,Gato,Female,37.9383242,-122.3277578,other,#ADD8E6
101,Nomi,Male,37.6851553,-122.1575745,black_white,#A9A9A9
102,Mickey,Male,37.734646,-122.463708,other,#ADD8E6
103,Bongo,Male,37.7597481,-122.4750292,orange,#FF9900
104,Yoshi,Male,37.6948419,-122.4070834,white,#FFFFFF
105,Shadow,Female,37.6729393,-122.1348629,black,#003366
106,Tiger,Female,37.7225491,-122.4410618,other,#ADD8E6
107,Dee Dee,Female,37.6729393,-122.1348629,other,#ADD8E6
108,this pet,Female,37.6729393,-122.1348629,other,#ADD8E6
109,Sky,Female,37.6729393,-122.1348629,calico,#8E593C
110,BooBoo,Male,37.6737239,-122.1007867,black,#003366
111,Coco,Female,37.9587253,-122.2767313,white,#FFFFFF
112,Mirasol,Female,37.6904558,-122.4523855,white,#FFFFFF
113,Cassius,Male,37.7225491,-122.4410618,white,#FFFFFF
114,Chance,Male,37.6729393,-122.1348629,black_white,#A9A9A9
115,Morris,Male,37.9587253,-122.2767313,orange,#FF9900
116,Sammy,Male,37.6737239,-122.1007867,other,#ADD8E6
117,Daisy,Female,37.7432421,-122.497668,other,#ADD8E6
118,Little Boy,Male,37.7432421,-122.497668,gray,#969888
119,Lilâ€™  Boy,Male,37.7432421,-122.497668,gray,#969888
120,Junior,Male,38.00674,-122.259717,gray,#969888
121,Stretch,Male,37.6737239,-122.1007867,gray,#969888
122,Yoko,Male,37.8824054,-122.026918,tabby,#D4C19E
123,Gabby,Female,37.6063621,-122.1178261,gray,#969888
124,Osiris,Male,37.6270256,-122.0496521,gray,#969888
125,Kitty,Female,38.00674,-122.259717,tabby,#D4C19E
126,Mau Mau,Male,37.8968703,-122.508863,other,#ADD8E6
127,Timo,Male,37.6210696,-122.4297369,black,#003366
128,Alice,Female,37.9193365,-122.0780632,other,#ADD8E6
